"Nom","Lat","Lon","Commune"
"Dolmen de la Pierre-Levée","44.32519","1.57597","?"
"Dolmen des Cartayroux","44.88677","1.45867","?"
"Dolmen de Peyro Levado","44.35030","1.84430","?"
"Dolmen de Marcigaliet n°X","44.36031","1.85212","?"
"Peyro Levado","44.49226","1.75139","?"
"Peyro Clabado ","44.92033","1.75139","?"
"Dolmen de Surgès","44.62030","1.30470","?"
"Pierre Levée (Lentillac-du-Causse)","44.55316","1.64769","?"
"Dolmen des Bouygues","44.55028","1.64528","?"
"Les Trois Pierres","44.53258","1.21711","?"
"Menhirs de Roquebert","44.52250","1.22306","?"
"Dolmen d'Agranel","44.41610","1.78470","?"
"Dolmen de Ferrières-Haut","44.38159","1.74056","?"
"Dolmen de Joncas","44.39000","1.75190","?"
"Dolmen de Pajot","44.38770","1.77990","?"
"Dolmen de Pech-Lapeyre","44.40190","1.75230","?"
"Dolmen de la Croze","44.63452","1.86995","?"
"Dolmen de la Cun","44.63557","1.87695","?"
"Pierre Martine","44.66080","1.82090","?"
"Dolmen de Peych Peyroux","44.62109","1.87012","?"
"Dolmen de Rougié","44.66147","1.82055","?"
"Dolmen du Mas de Tourelle","44.62885","1.85263","?"
"Dolmen de la Terre n°1","44.63267","1.88947","?"
"Dolmen de la Terre n°2","44.63781","1.88961","?"
"Dolmen de Vichelle","44.64494","1.81033","?"
"Dolmen du Cloup-Caoud n°1","44.63432","1.87741","?"
"Dolmen du Cloup-Caoud n°2","44.63376","1.87786","?"
"Menhir de Bélinac","44.63520","1.85900","?"
"Dolmen d'Horaste","44.85187","1.80386","?"
"Dolmen de Croix Hélène","44.86028","1.76570","?"
"Dolmen de Pech Plumet A","44.85420","1.76977","?"
"Dolmen de Pech Plumet B","44.85445","1.77474","?"
"Dolmen de la Terre de Lacoste","44.86237","1.75773","?"
"Dolmen des Combes Nègres","44.41239","1.70724","?"
"Dolmen du Mas de Rastouillet","44.42271","1.73834","?"
"Dolmen de la Devèze","44.54110","1.75200","?"
"Dolmen de Majourals","44.53693","1.81325","?"
"Dolmen des Combes-Hautes","44.56750","1.76194","?"
"Dolmen Mas Jean-Blanc","44.55156","1.80258","?"
"Dolmen de la Combe de Saule n°1","44.53854","1.81514","?"
"Dolmen de la Combe de Saule n°2","44.53989","1.81459","?"
"Dolmen de la Combe de Saule n°3","44.54188","1.81356","?"
"Dolmen de Gniars","44.87694","1.70361","?"
"Dolmen de la Carture","44.86139","1.68750","?"
"Dolmen de Peyrebru","44.88341","1.69596","?"
"Dolmen du Pech des Auques","44.87389","1.67220","?"
"Dolmen des Barrières n°2","44.86997","1.68973","?"
"Dolmen des Barrières n°3","44.86880","1.68380","?"
"Dolmens des Fieux","44.87972","1.69333","?"
"Dolmen de Roland","44.36767","1.18974","?"
"Dolmen du Pech de Nadal","44.31628","1.25194","?"
"Dolmen de Cambajou","44.67167","1.61940","?"
"Dolmen de la Pechette","44.68500","1.560830","?"
"Dolmen de la Pierre Basse","44.67444","1.60722","?"
"Pierre levée du Pech des Lèbres","44.69556","1.62833","?"
"Menhir de Courtis","44.56889","1.30333","?"
"Dolmen de Barrade","44.87659","1.65633","?"
"Dolmen de Barthe Soubronne","44.86367","1.66004","?"
"Dolmen de la Pélasse","44.86119","1.63391","?"
"Dolmen de la Salardie","44.85508","1.63709","?"
"Dolmen de Liade","44.87234","1.64278","?"
"Dolmen des Placels","44.84990","1.64540","?"
