"IDSite";"NomSite";"NumSite";"Type";"Commune";"Departement";"Coord.Value";"Latitude";"Longitude";"MetriqueX";"MetriqueY"
"DLESC0 0";"Dolmen des Escabasses (B)";"12982";"Dolmen";"Flaujac-Gare";"46";" N44.71713 E1.79549";"44.71713";"1.79549";"557106,443368267";"1968626,22185809"
"DLESC2 0";"Dolmen des Escazals";"32277";"Dolmen";"Durbans";"46";" N44.659724 E1.763032";"44.659724";"1.763032";"554486,73424057";"1962261.84975925"
"DLFER0+4";"Dolmen de Ferrières-Haut";"9411";"Dolmen";"Limogne-en-Quercy";"46";" N44.38157 E1.74064";"44.38157";"1.74064";"552475,058195685";"1931346,32291864"
"DLFIEU-0";"Dolmen de Fieux";"12071";"Dolmen";"Miers";"46";" N44.87967 E1.69364";"44.87967";"1.69364";"549180,360169632";"1986757,98814047"
"DLFOSS+3";"Dolmen des Fosses";"9428";"Dolmen";"Soucirac";"46";" N44.7028056 E1.4933333";"44.7028056";"1.4933333";"533136,452452698";"1967244.77468128"
"DLFOU1+3";"Dolmen de Fourques Basses";"9395";"Dolmen";"Brengues";"46";" N44.60625 E1.80985";"44.60625";"1.80985";"558162,105589231";"1956290,17670958"
"DLGABA 3";"Dolmens de Gabaudet (B)";"12426";"Dolmen";"Issendolus";"46";" N44.7141129 E1.7511825";"44.7141129";"1.7511825";"553591.502230496";"1968315,97146411"
"DLGAGN X";"Dolmen du Gagnoulat";"23434";"Dolmen";"Goujounac";"46";" N44.5744 E1.21267";"44.5744";"1.21267";"510678,335409133";"1953247,53091607"
"DLGARI*3";"Dolmen de Garivals";"9386";"Dolmen";"Assier";"46";" N44.67565 E1.85447";"44.67565";"1.85447";"561753,72859367";"1963983,81223591"
"DLGARR+2";"Dolmen du bois des Garroustes";"23431";"Dolmen";"Sérignac";"46";" N44.4388611 E1.1067222";"44.4388611";"1.1067222";"502022,809927493";"1938304,0240498"
"DLGINO-0";"Dolmen de Ginouillac";"30323";"Dolmen";"Espédaillac";"46";" N44.6020273 E1.7766854";"44.6020273";"1.7766854";"555524,454659103";"1955838,89120327"
"DLGREZ 0";"Dolmen de Grezelade (C)";"32244";"Dolmen";"Lanzac";"46";" N44.859879 E1.471917";"44.859879";"1.471917";"531630,570936247";"1984726,01199094"
"DLGROE+2";"Dolmen dit la Pierre Grosse";"32576";"Dolmen";"Saint-Pierre-Toirac";"46";" N44.5390278 E1.9546111";"44.5390278";"1.9546111";"569624,344204161";"1948749,05356316"
"DLIGUE-0";"Dolmen des Igues de Magnagues";"32280";"Dolmen";"Carennac";"46";" N44.8873462 E1.731664";"44.8873462";"1.731664";"552192,496085151";"1987587,50353389"
"DLIMBA-0";"Dolmen des Imbarcous";"11618";"Dolmen";"Reyrevignes";"46";" N44.63602 E1.89837";"44.63602";"1.89837";"565211.868064534";"1959557,05158586"
"DLJAS0+4";"Dolmen des Jasses";"30820";"Dolmen";"Labastide-Marnhac";"46";" N44.37814 E1.36107";"44.37814";"1.36107";"522200,805530248";"1931267,76643356"
"DLJONC+4";"Dolmen dit de Joncas";"9414";"Dolmen";"Limogne-en-Quercy";"46";" N44.39016 E1.75237";"44.39016";"1.75237";"553417,617800534";"1932294,50725012"
"DLLADE 0";"Dolmen de Ladeneau";"32249";"Dolmen";"Sérignac";"46";" N44.4087468 E1.0906533";"44.4087468";"1.0906533";"500689,653499064";"1934975,85859821"
"DLLALB-2";"Dolmen de Lalbrade";"31730";"Dolmen";"Larnagol";"46";" N44.4921957 E1.7492033";"44.4921957";"1.7492033";"553249,998471696";"1943642,50408515"
"DLLART+4";"Dolmen de l'Artillou";"9394";"Dolmen";"Espédaillac";"46";" N44.61562 E1.78681";"44.61562";"1.78681";"556339,306594471";"1957344.55941128"
"DLLAVA-0";"Dolmen de Laval";"9429";"Dolmen";"Souillac";"46";" N44.91559 E1.45421";"44.91559";"1.45421";"530300,070925382";"1990935,01552183"
"DLLE08-0";"Dolmen dit Pierre Levée de Nougayrac";"9399";"Dolmen";"Fontanes-du-Causse";"46";" N44.66259 E1.69686";"44.66259";"1.69686";"549238,248550014";"1962621.07658779"
"DLLE09*4";"Dolmen dit Pierre Levée";"9406";"Dolmen";"Issendolus";"46";" N44.74158 E1.80502";"44.74158";"1.80502";"557880,334466387";"1971339,47368299"
"DLLE21-4";"Dolmen du Cloup del Prioun";"22409";"Dolmen";"Sauliac-sur-Célé";"46";" N44.50461 E1.6878";"44.50461";"1.6878";"548374,195717261";"1945061.36476071"
"DLLEIBX0";"Dolmen dit Lei Barto";"32251";"Dolmen";"Béduer";"46";" N44.5814 E1.94694";"44.5814";"1.94694";"569037,677113825";"1953463,52302536"
"DLLEVC 3";"Dolmen dit la Pierre Levée de Lacoste";"30346";"Dolmen";"Issendolus";"46";" N44.7513454 E1.7642401";"44.7513454";"1.7642401";"554656,863979887";"1972447,92170734"
"DLLEVD-0";"Dolmen dit la Pierre Levée";"30931";"Dolmen";"Faycelles";"46";" N44.5542025 E1.9805728";"44.5542025";"1.9805728";"571696,663627015";"1950426,67160655"
"DLLEVH-4";"Dolmen du Pech de Gadal";"31664";"Dolmen";"Sauliac-sur-Célé";"46";" N44.5282191 E1.7241014";"44.5282191";"1.7241014";"551283,331472318";"1947663,32853261"
"DLLEVK 2";"Dolmen de Pierre Levée";"33411";"Dolmen";"Cambes";"46";" N44.6247508 E1.9018663";"44.6247508";"1.9018663";"565482,498166713";"1958302,50373394"
"DLLIAD-1";"Dolmen de Liade";"31822";"Dolmen";"Montvalent";"46";" N44.8723622 E1.642457";"44.8723622";"1.642457";"545127,499396179";"1985979,99580539"
"DLLIGO-0";"Dolmen de Ligoussou";"11619";"Dolmen";"Grèzes";"46";" N44.60985 E1.8507";"44.60985";"1.8507";"561409,356214967";"1956669,52983857"
"DLLIGU-3";"Dolmen de l'Igue de Planagrèze";"11648";"Dolmen";"Caniac-du-Causse";"46";" N44.63551 E1.66296";"44.63551";"1.66296";"546522,43467357";"1959632,68166142"
"DLLOU3X0";"Dolmen dit les Pierres du Loup";"23437";"Dolmen";"Saint-Caprais";"46";" N44.6078 E1.15889";"44.6078";"1.15889";"506460,134554176";"1957023,54709998"
"DLMA06 0";"Dolmen du Mas Grézac";"22434";"Dolmen";"Boussac";"46";" N44.5815 E1.9139";"44.5815";"1.9139";"566412,142403396";"1953488,23094312"
"DLMAR1+4";"Dolmen de Marcigaliet (A)";"9408";"Dolmen";"Laramière";"46";" N44.36425 E1.8529167";"44.36425";"1.8529167";"561417,149280482";"1929358,72889329"
"DLMAR2*5";"Dolmen dit la Pierre-Martine";"9417";"Dolmen";"Livernon";"46";" N44.66081 E1.82086";"44.66081";"1.82086";"559076,497414862";"1962350,76248539"
"DLMARC+1";"Dolmen de Marcigaliet (B)";"9444";"Dolmen";"Laramière";"46";" N44.3618333 E1.84825";"44.3618333";"1.84825";"561043,196560817";"1929092,28927138"
"DLMARK+3";"Dolmen de Martigues";"30924";"Dolmen";"Béduer";"46";" N44.56944 E1.90865";"44.56944";"1.90865";"565987,629520732";"1952149,52388854"
"DLMARM 2";"Dolmen de Marcilhac";"31873";"Dolmen";"Lamothe-Fénelon";"46";" N44.8363177 E1.4595378";"44.8363177";"1.4595378";"530622,504389065";"1982117,49522315"
"DLMAS0-0";"Dolmen du Mas-de-Pezet";"9426";"Dolmen";"Saint-Chels";"46";" N44.50927 E1.80221";"44.50927";"1.80221";"557481.851090043";"1945510,93376116"
"DLMAS2-2";"Dolmen du Mas de Labat (B)";"9442";"Dolmen";"Cénevières";"46";" N44.44354 E1.73119";"44.44354";"1.73119";"551774,566210453";"1938243,08825117"
"DLMAS3-3";"Dolmen du Mas de Parra";"9833";"Dolmen";"Crégols";"46";" N44.43181 E1.70833";"44.43181";"1.70833";"549943,084106173";"1936953,05059127"
"DLMASD-4";"Dolmen du Mas d'Arjac";"9397";"Dolmen";"Cabrerets";"46";" N44.50291 E1.67474";"44.50291";"1.67474";"547333,364971025";"1944881.00961729"
