Nom,Lat,Lon,Commune
Dolmen de Roland,44.367667,1.189744,?
Dolmen du Pech de Nadal,44.316278,1.251944,?
Dolmen de Cambajou,44.67167,1.6194,?
Dolmen de la Pechette,44.685,1.56083,?
Dolmen de la Pierre Basse,44.67444,1.60722,?
Pierre levée du Pech des Lèbres,44.69556,1.62833,?
Menhir de Courtis,44.56889,1.30333,?
Dolmen de Barrade,44.876587,1.656326,?
Dolmen de Barthe Soubronne,44.86367,1.66004,?
Dolmen de la Pélasse,44.86119,1.63391,?
Dolmen de la Salardie,44.85508,1.63709,?
Dolmen de Liade,44.872336,1.642781,?
Dolmen des Placels,44.8499,1.6454,?
Dolmen d'Andrieu,44.85611,1.74139,?
Dolmen d'Escurettes,44.855,1.74389,?
Dolmen de Bougoulat,44.865,1.783,?
Dolmen des Calcas,44.85111,1.75917,?
Dolmen des Claouzelles,44.84194,1.7528,?
Dolmen des Pendus,44.8556,1.75667,?
Dolmen des Pendus,44.85417,1.75528,?
Dolmen de la Bertrandoune,44.52842,1.21846,?
Dolmen du Champ de Cuzer,44.63583,1.89889,?
Dolmen de la Rue,44.829222,1.651256,?
Dolmen de Magès,44.78667,1.61333,?
Dolmen du Pouget,44.82806,1.62639,?
Dolmens d'En Caminou,44.79958,1.66535,?
Dolmens du Pech de Gourbière,44.82723,1.59711,?
Dolmen Clos Grands,44.3257,1.7021,?
Menhir de Saillac,44.331808,1.757306,?
Dolmen d'Aubin,44.5468,1.8132,?
Dolmen des Agars,44.5475,1.8176,?
Dolmen du Mas de Pezet,44.509,1.8015,?
Dolmen du Pech d'Agaïo,44.544167,1.816667,?
Dolmen de Pech-Seret n°1,44.42194,1.80639,?
Dolmen de Pech-Seret n°2,44.41917,1.80444,?
Menhir de Peyreficade,44.822354,1.867919,?
Cromlech de Peyrebrune,44.73194,1.49861,?
Dolmen du Rat,44.581134,1.782111,?
Menhir de la Pierre-Levée,44.449988,1.279792,?
Dolmen du Pech Curet,44.695830,1.286942,?
Dolmen du Cloup Prioun,44.5047,1.6878,?
Dolmen du Mas de Galdot,44.52806,1.724167,?
Dolmen de Bartassou,44.4472,1.07556,?
Dolmen des Garroustes,44.43861,1.10667,?
Dolmen des Fosses,44.70281,1.49333,?
Dolmen Laval,44.91583,1.45472,?
