Nom dolmen;Lieu, autres noms;Commune ;IGN;OSM;Etat;Lat. N (°);Long. E (°);UTM Nord;UTM Est;Vérif.;Classement;Tumulus;Orthostats;Table;Remarques;Pages Web;T4T35;Mahenc;Photos;Explications
D. de la Carture;;Miers;-;;tO;44.86377 ;1.68221;4968662;395892;;;restes;oui;non;;;Descr;;;
D. de Sabadel;;Miers;+;;T;44.86193 ;1.68729;4968451;396290;;;oui;;non;;;Descr;;;
D. de Moussié Haut;;Miers;+;;2,TO;44.85846 ;1.73416;4968007;399987;;;oui;oui;non;Dolmen double;;Descr;T1 p101;;
D. de la Borie de Lalé;;Miers;;;t,1O;;;;;;;oui;1;non;;;;;;
D. Combe de l'Ours 1;;Montbrun;-;+;T 2O;44.52945;1.89891;4931270;412510;ok;;oui;oui;non;;wikipedia;Descr;T2 p266;oui;
D. Combe de l'Ours 2;;Montbrun;-;+;T 2O(c);44.52626;1.89966;4930915;412565;ok;;oui;oui;cassée;;wikipedia;Descr;T2 p268;oui;
D. du Pech de Montbrun ;;Montbrun;;+;1o (c);44.52265;1.90870;4930504;413278;ok;;non;1;déplacée ?;;;;;oui;
D. du Pech de Montbrun;;Montbrun;-;;C;44.52260 ;1.90772;4930500;413200;;;non;oui;oui;pos. approchée;;;T2 p258;;
D. du Pech de Montbrun 2;;Montbrun;;+;t,1O;44.51998;1.90706;4930210;413143;ok;;restes;1;non;Gariote;;;;oui;
D. de Pech Joli;;Montbrun;-;+;t C;44.51760;1.90278;4929950;412800;ok;;Restes;oui;oui;;;;T2 p256;oui;
D. du Pech Roubert;;Montbrun;-;+;TO;44.51679 ;1.88455;4929880;411350;ok;;oui;oui;non;Gariote;;;T2 p272;oui;
D. du Mas de Gabat;;Montbrun;-;+;T 4O(C);44.51390 ;1.89006;4929553;411783;ok;;oui;4;déplacée;;;;T2 p270;oui;
D de Péchette;;Montfaucon;-;;T,4O;44.685 ;1.5608;4948966;385949;;;long;4;non;Double;;Descr;;;
D. de Pierre Basse;;Montfaucon;-;;C;44.6744 ;1.6072;4947725;389606;;;non;oui;oui;Arbre au milieu;wiki;;T1 p242;oui;
D. de Cambajou;;Montfaucon;+;;tC;44.6716 ;1.6194;4947397;390568;;;restes;oui;oui;;wiki;Descr;T1 p240;oui;
D. du Frau;;Montfaucon;;;t ?;;;;;;;;;;;;;;;
D. de Barrade;;Montvalent;;;TO;44.88018;1.65217;4970524;393549;?;;oui;oui;non;;;Descr;;;
D. de la Masse;;Montvalent;;;;44.8800;1.6180;4970549;390850;;;;;;;;;;;
D. de Liade;;Montvalent;;;T 1O;44.87236;1.64246;4969668;392768;;;oui;1;non;;;Descr;;;
D. de Barthe Soubronne;;Montvalent;;;t O(C);44.86329;1.65882;4968639;394043;;;restes;oui;déplacée;D. à vestibule;;Descr;T1 p332;;
D. de Pélasse;;Montvalent;;;TO;44.86113;1.63004;4968437;391766;?;;oui;oui;non;D. à vestibule;;Descr;;;
D. de la Salardie;;Montvalent;;;TO;44.855;1.63722;4967746;392321;;;oui;oui;non;;;;;;
D. des Placels;;Montvalent;;;T O(c);44.85079;1.64431;4967269;392874;;;oui;oui;morceaux;;;Descr;T1 p335;;
D. du Roc de Corn;;Montvalent;;;TO(C);;;;;;;oui;oui;déplacée;;;;;;
D. du moulin;;Orniac;;;t,1o;;;;;;;oui;1;non;2 D. ruinés;;;;;
D. de Bougoulat;;Padirac;+;;TOC;44.86533 ;1.75865;4968740;401934;;;oui;oui;cassée;Vestibule;padirac;Descr;;;
D. de la croix d'Hélène;;Padirac;-;;c;44.86098 ;1.76465;4968250;402400;;;non;oui;petite;;padirac;;T1 p85;;
D. d'Andrieu;Champ de Monsieur;Padirac;+;;2,TC;44.85634 ;1.74142;4967762;400557;;;oui;oui;oui;Dolmen double;padirac;Descr;T1 p78;;
D. dit des Pendus (C);Bouygue Longue (C);Padirac;-;;T;44.85581 ;1.75675;4967685;401767;;;oui;;non;;padirac;Descr;;;
D. des Escurettes;Salvage (B);Padirac;+;;TC;44.85507 ;1.74405;4967618;400763;;;oui;oui;oui;Vestibule;padirac;Descr;T1 p82;;
D. dit des Pendus;Bouygue Longue (A);Padirac;+;;toc;44.85442 ;1.75539;4967532;401658;;;restes;oui;petite;;padirac;Descr;T1 p86;;
D. des Calcas;D. de Penot;Padirac;+;;toc;44.85122 ;1.75941;4967172;401970;;;restes;oui;petite;2 dol;padirac;Descr;T1 p84;;
D. des Claouzelles;;Padirac;-;;;44.84194;1.752778;4966149;401430;;;;;;;padirac;Descr;;;
D. de la Terre de Lacoste;;Padirac;;;tO;44.86237;1.75773;4968412;401856;;;1;oui;non;;padirac;;;;
D. du Moulin (A);;Reilhac;-;;;44.7011 ;1.72;4950544;398593;;;;;;;;Descr;;;
D. de Bugadou;;Reilhac;;;;;;;;;;;;;;;;;;
D. de la Grange des Rouquets;;Reilhac;;;;;;;;;;;;;;;;;;
D. du puits de Gabaudet;;Reilhac;;;;;;;;;;;;;ruiné;;;;;
D. des Causses hauts 2;;Reyrevignes;+;+;C;44.65430 ;1.90040;4945137;412815;;;non;oui;oui;;;;T1 p144;oui;
D. des Causses hauts 1;;Reyrevignes;+;+;C;44.65100 ;1.89580;4944775;412445;;;non;oui;oui;;;;T1 p144;oui;
D. du Champ de Cuzer;Imbarcous;Reyrevignes;+;+;C;44.63602 ;1.89837;4943108;412630;;;non;oui;oui;Table cassée;;Descr;T1 p147;oui;
"D; des Fragives";;Reyrevignes;;;t,1o;;;;;;;oui;1;non;;;;;;
D. de Lacam;;Rocamadour;;;;44.84833;1.65389;4966983;393626;;;;;;;;;;;
D. de la Rue;;Rocamadour;-;;TO;44.83704 ;1.64104;4965746;392590;;;oui;oui;non;;;Descr;;;
D. du Pech de Gourbières (B;;Rocamadour;-;;;44.83194 ;1.59265;4965245;388755;;;;;;;Gourbières;Descr;;;
D. du Pech de Gourbières (A);;Rocamadour;-;;;44.83174 ;1.59272;4965222;388761;;;;;;;Gourbières;Descr;;;
D. des Plantoux;D. de la Rue;Rocamadour;-;;C;44.82925 ;1.65128;4964867;393385;;;non;oui;oui;;;Descr;T1 p110;;
D. du Pouget;;Rocamadour;;;;44.82806;1.62639;4964768;391415;;;;;;;;;;;
D. d'En Caminou;;Rocamadour;;;to;44.79944;1.66528;4961538;394437;;;oui;oui;non;2è Dol,;;;;;
P. Levée de la Pannonie;D. de Magès (les Places);Rocamadour;+;;T C;44.78678 ;1.6133;4960200;390302;;classé MH;oui;oui;oui;Vestibule;;Descr;T1 p106;;
D. des Places;;Rocamadour;;;TO;;;;;;;oui;oui;non;;;;;;
D. du Bois d'Alis;Peyrefie;Rocamadour;;;tO;;;;;;;oui;oui;non;;;;;;
D. du Pech de Bourel;;Rocamadour;;;to;;;;;;;;;;2 dol,;;;;;
D. des Agars;;Saint Chels;+;+;C;44.547350 ;1.817690;4933349;406085;ok;classé MH;non;oui;oui;;wiki;Descr;T2 p226;oui;
D. d'Aubin;;Saint Chels;-;+;C;44.54669 ;1.81323;4933280;405730;ok;classé MH;non;oui;oui;;wiki;Descr;T2 p223;oui;
D. du Pech d'Agaïo;Pech de Fourès;Saint Chels;+;+;C;44.54421 ;1.81669;4933001;406001;ok;classé MH;non;oui;cassée;écroulé;wiki;Descr;T2 p228;oui;
D. de la Peyrière;;Saint Chels;-;;tc;44.52155;1.84646;4930450;408330;;;traces;oui;cassée;introuvable;;;T2 p210;;
D. des Strabols;;Saint Chels;-;+;t O(c);44.51949;1.83499;4930234;407415;ok;;restes;;déplacée;;;;T2 p212;oui;
D. du Mas-de-Pezet;Gaubert;Saint Chels;+;;t C;44.50927 ;1.80221;4929137;404793;;inscrit MH;restes;oui;oui;;mas des pezet;Descr;T2 p218;;
D. de Cabrone;;Saint Chels;-;;O;44.50784 ;1.78345;4929000;403300;;;non;oui;non;;;;T2 p221;;
D. de Saint Bérot;;Saint Chels;;;O(c);;;;;;;traces;oui;déplacée;;;;;;
D. du Bout de la Combe;;Saint Chels;;;O;;;;;;;non;oui;non;voir Péchaud ?;;;;;
D. du Devès;;Saint Chels;;;;;;;;;;;;;;;;;;
D. de Pourquayret;;Saint Chels;;;O;;;;;;;non;;non;;;;;;
D. de Rigou;;Saint-Projet;-;;C;44.75806 ;1.49786;4957172;381111;;;non;;oui;;;Descr;T1 p268;oui;
D. de Peyrebrune;;Saint-Projet;;;;44.7285;1.50036;4953885;381248;;;;;;;;Descr;;;
Cromlech de Peyrebrune;;Saint-Projet;;;;44.73194;1.49861;4954269;381117;;;;;;;;Descr;T1 p270;;
D. de Roucous;Pech du Cros ?;Saint-Simon;+;+;C;44.71056 ;1.83035;4951464;407351;;;?;;cassée;Accès interdit par le propr.;;Descr;;;
D. du Bois;;Saint-Simon;;;TO;;;;;;;oui;oui;non;Sommet pech;;;;;
D. de Pech-Curet;;Salviac;+;;;44.69584 ;1.28697;4950590;364274;;;;;;;;Descr;T1 p273;oui;
D. du Pech de Gadal;Mas de Galdot, P. levée des Pouzols;Sauliac;+;;C;44.52822 ;1.7241;4931336;398618;;;non;;oui;;;Descr;T2 p138;;
D. dit la Pierre Levée;Pech de la Garde;Sauliac;-;;t C;44.51632 ;1.74146;4929992;399977;;;restes;2, droit couché;cassée;;;Descr;T2 p144;;
D. du Cloup del Prioun;Pech Grand;Sauliac;-;;C;44.50461 ;1.6878;4928759;395691;;inscrit MH;oui;oui;oui;;;Descr;T2 p141;;
D. des Pouzols;Métairie basse;Sauliac;;;C;;;;;;;;;cassée;;;;;;
D. des Cuzals 1;;Sauliac;;;tO;;;;;;;oui;oui;non;;;;;;
D. des Cuzals 2;;Sauliac;;;tOC;;;;;;;oui;oui;oui;;;;;;
D. d'Hiade Haute;;Sonac;;;tO;;;;;;;oui;oui;non;Chemin sur Tum,;;;;;
D. des Igues;;Sonac;;;tO;;;;;;;oui;oui;non;Gariote;;;;;
D. du Cazuéla;;Sonac;;;tO;;;;;;;oui;oui;non;;;;;;
D. de Nougayrac;;St Martin Labouval;-;;t,1o;44.4827 ;1.7155;4926290;397855;;;oui;1;non;;;Descr;;;
D. des Choulbes;;St Martin Labouval;;;tO;;;;;;;oui;oui;non;Cayrou;;;;;
D. du Frau;;St Martin Labouval;;;tO;;;;;;;oui;oui;non;Sommet pech;;;;;
D. des Parts;;St Martin Labouval;;;TO;;;;;;;gros;oui;non;;;;;;
D. du Pech de Tuile;;St Martin Labouval;;;tO;;;;;;;oui;oui;non;Coupe feu;;;;;
D. des Cazelles Longues;;St Pierre Toirac;-;+;O(C);44.54434;1.94910;4932872;416520;ok;;non;1 cassé 1 couché;déplacée;écroulé;;Descr;;oui;
D. de Pierre Grosse;;St Pierre Toirac;-;+;TO(C);44.53908 ;1.95461;4932280;416950;ok;;restes;oui;déplacée;écroulé;;Descr;;oui;
D. les Cloupadous;;St Pierre Toirac;;;O;;;;;;;;oui;non;Cayrou;;;;;
D. du Rat;;St Sulpice;+;+;T C;44.58118 ;1.78234;4937148;403333;;inscrit MH;oui;;oui;;Clottes;Descr;T2 p108;oui;
D. de la Cabroulate;;Thémines;;;;;;;;;;;;;Détruit;;;;;
D. du Pech de Lavayssière;;Thémines;;;t,1o;;;;;;;oui;1;non;;;;;;
D. de Salers;D. des Places;Théminettes;;;t O;44.72146;1.84203;4952661;408293;;;restes;oui;non;;niederlender;;;;
Tumulus de Salers 2;;Théminettes;;;T;44.72140;1.84096;4952655;408208;;;oui;;;;;;;;
Tumulus de Salers 1;;Théminettes;;;T;44.72116;1.84170;4952628;408266;;;oui;;;;;;;;
D. de Fallière;;Théminettes;;;1o;;;;;;;non;1;non;;;;;;
D. du Mas du Causse;;Théminettes;;;t,1o;;;;;;;oui;1;non;;;;;;
D. du Roucadour;;Théminettes;;;tc;;;;;;;restes;couchés;oui;;;;;;
D. des Carbonnières;;Tour-de-Faure;-;;C;44.47905 ;1.67981;4925930;395010;;;non;;oui;;;Descr;T2 p354;;
D. du Peyry;Les Carbonnières;Tour-de-Faure;;;tOC;;;;;;;oui;oui;oui;2 dol;;;;;
D. du Pech Lasserre;;Tour-de-Faure;;;tO(c);;;;;;;oui;oui;Morceaux;2 dol;;;;;
