Nom;Commune;Pages Web;Remarques;Lieu;Classement;Lat;Lon
Dolmens du Mas-del-Duc Dolmen B;Calvignac;;;autres noms <brDolmen de Peyrelevade (n° 1) <br Dolmen du Pech Gayral (n° 2);;44.42289;1.78490
Dolmen de Pierre Levée ;Cambes (Lot);https://fr.wikipedia.org/wiki/Dolmen de Pierre Levée;Base Mérimée PA46000051 ;;Inscrit MH 2012;44.6262;1.9044
Le Communal ;Cambes (Lot);;Clottes p74  - ;;;44.62769;1.90291
Le Ruscou ;Cambes (Lot);;;;;44.62900;1.89859
Le Pournel ;Cambes (Lot);;Clottes p74  - ;;;44.62616;1.91076
Dolmen de Planagrèze ;Caniac-du-Causse;;;;;44.63444;1.66333
Dolmen de Cavarroc ;Carayac;;Clottes p75  - ;;;"44°32'31""";"1°54'57"""
Dolmen du Pech de la Curado ;Carayac;;Clottes p75  - ;;;"44°31'49""";"1°55'27"""
Dolmen des Igues de Magnagues ;Carennac;;;;;44.887225;1.731390
Dolmens du Noutary Dolmen A;Carennac;;Clottes 1977 p=77-79  ;8 dolmens;3 détruits  1 ruiné;44.9025;1.70861
Dolmens du Noutary Dolmen B;Carennac;;Clottes 1977 p=77-79  ;8 dolmens;3 détruits  1 ruiné;44.90639;1.70639
Dolmen de Los-Très-Peyros ;Castelfranc;;;autre nom Dolmen du Causse de Cousis;;44.5111;1.21528
Dolmen du Pech de Roquebert ;Castelfranc;;;;;44.51417;1.21889
Dolmens du Mas de Labat ;Cénevières;https://fr.wikipedia.org/wiki/Dolmens du Mas de Labat;Base Mérimée PA00095057 ;2 dolmens;Dolmen n° 2<brInscrit MH 1959;44.4436;1.731
Dolmen de Peyrelongue ;Corn;;;;;44.61714;1.89968
Dolmen du Pech dArsou ;Corn;https://fr.wikipedia.org/wiki/Dolmen du Pech d'Arsou;;;;44.61094;1.87918
Dolmens dAuriac Dolmen n° 1;Corn;https://fr.wikipedia.org/wiki/Dolmens d'Auriac;;3 dolmens  dolmen n° 3 incertain Clottes p86 ;;44.59371;1.88469
Dolmens dAuriac Dolmen n° 2;Corn;https://fr.wikipedia.org/wiki/Dolmens d'Auriac;;3 dolmens  dolmen n° 3 incertain Clottes p86 ;;44.59178;1.88104
Dolmens dAuriac Dolmen n° 3?;Corn;https://fr.wikipedia.org/wiki/Dolmens d'Auriac;;3 dolmens  dolmen n° 3 incertain Clottes p86 ;;44.59318;1.88194
Menhirs du Suquet ;Corn;;;2 menhirs douteux Clottes p89>Clottes 1977 p=89 ;;44.60589;1.87256
Dolmen du Mas de Parra ;Crégols;;;autres noms Dolmen de Pech Sec  Tombeu dau Gigant  Tombeau du Géant Clottes p89 ;;44.43167;1.7083
Dolmen de La Borie Grande ;Durbans;;;;;44.68361;1.74639
Dolmen des Combarols ;Durbans;;Base Mérimée PA46000048 ;autre nom Dolmen de Peyre de lHomme;Inscrit MH 2011;44.6916;1.7864
Dolmens des Roques Dolmen n° 1;Durbans;;Base Mérimée PA46000053 ;2 dolmens;Dolmen n° 2 <brInscrit MH 2012;44.6918;1.7978
Dolmens des Roques Dolmen n° 2;Durbans;;Base Mérimée PA46000053 ;2 dolmens;Dolmen n° 2 <brInscrit MH 2012;44.692;1.7984
Dolmen de Verdier-Petit ;Durbans;;;autre nom Dolmen de Ladignac;;44.6769;1.782852
Dolmen des Nouelles ;Escamps_(Lot);;Clottes 1977 p=91   - ;;;"44°21'41""";"1°35'39"""
Dolmen de Coste Pialade ;Espagnac-Sainte-Eulalie;;Clottes 1977 p=93   - ;autre nom Tombe de César; ;44.59662;1.86745
Dolmens de Cavagnès Dolmen A;Espagnac-Sainte-Eulalie;;;2 dolmens Clottes p93 ;;44.60467;1.86481
Dolmens de Cavagnès Dolmen B;Espagnac-Sainte-Eulalie;;;2 dolmens Clottes p93 ;;44.60496;1.86502
Dolmen de lArtillou ;Espédaillac;;;;;44.61639;1.78694
Dolmen de Peyrefit ;Espédaillac;;;;;44.62167;1.79111
Dolmen de Place du Sol ;Espédaillac;;;autres noms Pierre Levée  Peyrière Clottes p95 ;;44.64469;1.78068
Dolmen du Pech Ventoux ;Espédaillac;;;2 dolmens Clottes p93 ;;44.63639;1.80083
Dolmens de Ginouillac ;Espédaillac;;Clottes p93 ;2 dolmens;1 détruit;44.59667;1.77417
Dolmen de Ferrières ;Faycelles;;Clottes 1977 p=95   - ;;;44.57409;001.99389
Dolmen du Mas de Bessières ;Faycelles;;Clottes p95  - ;;;"44°33'25""";"1°58'12"""
Pierre Levée (Faycelles) ;Faycelles;https://fr.wikipedia.org/wiki/Pierre Levée (Faycelles);;;;44.55383;001.98159
Dolmens des Escabasses ;Flaujac-Gare;;:28 ;3 dolmens Clottes p97 ;1 détruit;44.71718;1.79571
Dolmen de Camp del Prieu ;Floirac_(Lot);;;autre nom Peyrelevade;;44.91306;1.68167
Dolmens de Candare Dolmen A;Floirac_(Lot);;;2 dolmens;;44.891772;1.682733
Dolmens de Candare Dolmen B;Floirac_(Lot);;;2 dolmens;;44.891208;1.681262
Dolmen de la Combe de Xey ;Floirac_(Lot);;;;;44.90694;1.68389
Dolmen de Cloup de Roual ;Floirac_(Lot);;;;;44.892982;1.695793
Dolmen dUffande ;Floirac_(Lot);;Clottes 1977 p=103   - ;;;44.917442;1.681151
Dolmen du Pech-Cayrou ;Floirac_(Lot);;;;;44.904991;1.673401
Dolmens des Barthes Dolmen A;Floirac_(Lot);;;2 dolmens;;44.895847;1.673565
Dolmens des Barthes Dolmen B;Floirac_(Lot);;;2 dolmens;;44.8934;1.6752
Dolmen de Combescure ;Fontanes-du-Causse;;;autre nom Dolmen du Douyounet;;44.67139;1.63944
Pierre Levée de Nougayrac ;Fontanes-du-Causse;;Base Mérimée PA00095091 ;;Classé MH 1989;44.6633;1.697
Dolmen des Cloups ;Ginouillac;https://fr.wikipedia.org/wiki/Dolmen des Cloups;Base Mérimée PA00095097 ;;Classé MH 1973;44.7239;1.5367
Dolmen du Cayrou de LHomme Mort ;Gintrac;;;;;44.87318;1.7591
Dolmen de Costeraste ;Gourdon_(Lot);;;;;44.706029;1.343571
Dolmen de Bouyé ;Gramat;;;autre nom Dolmen des Rougières Clottes p107>Clottes 1977 p=107 ;;44.773150;1.744304
Dolmen de Saint-Chignes ;Gramat;;;;;44.749287;1.760402
Dolmen des Plassous ;Gramat;https://fr.wikipedia.org/wiki/Dolmen des Plassous;Base Mérimée PA00095104 ;autres noms Dolmen des Aspes  Dolmen de Pissebas;Classé MH 1889;44.7729;1.6896
Dolmen du Terrou ;Gramat;;Clottes 1977 p=110   - ;;;44.774170;1.761940
Dolmen du Pech de Grammont ;Gramat;https://fr.wikipedia.org/wiki/Dolmen du Pech de Grammont;Base Mérimée PA46000055 ;;Inscrit MH 2012;44.7848;1.6727
Dolmen de Ganil ;Gréalou;https://fr.wikipedia.org/wiki/Dolmen de Ganil;Base Mérimée PA46000049 ;;Inscrit MH 2011;44.535100;1.903741
Dolmen des Aguals ;Gréalou;https://fr.wikipedia.org/wiki/Dolmen des Aguals;Base Mérimée PA46000021 Base Mérimée PA46000022 ;autre nom Dolmen de la Combe de lOurs;Inscrit MH 2001;44.5288;1.8944
Dolmen des Vandourgues ;Gréalou;;;autre nom Dolmen du Mas-Mondieu;;44.52773;001.85436
Dolmen du Chenil ;Gréalou;;;Autre nom Dolmen de Senil;;"44°31'47""";"1°51'19"""
Dolmens de Pech Laglaire Dolmen n° 1;Gréalou;https://fr.wikipedia.org/wiki/Dolmens de Pech Laglaire;Base Mérimée PA00095105 ;3 dolmens <br autre nom Dolmens du Mas-de-Pégouriès;Dolmens n° 1 et 2 <brClassé MH 1978;44.5346;1.8626
Dolmens de Pech Laglaire Dolmen n° 2;Gréalou;https://fr.wikipedia.org/wiki/Dolmens de Pech Laglaire;Base Mérimée PA00095105 ;3 dolmens <br autre nom Dolmens du Mas-de-Pégouriès;Dolmens n° 1 et 2 <brClassé MH 1978;44.534726;1.865461
Dolmens de Pech Laglaire Dolmen n° 3;Gréalou;https://fr.wikipedia.org/wiki/Dolmens de Pech Laglaire;Base Mérimée PA00095105 ;3 dolmens <br autre nom Dolmens du Mas-de-Pégouriès;Dolmens n° 1 et 2 <brClassé MH 1978;44.532843;1.866712
Dolmen de Custalou ;Grèzes (Lot);https://fr.wikipedia.org/wiki/Dolmen de Custalou;Base Mérimée PA00095108 ;;Classé MH 1965;44.6249;1.8137
Dolmen de Ligoussou ;Grèzes (Lot);;;autre nom Dolmen du Champ des Granges;;44.609781;1.851021
Dolmen du Cloup-de-Périès ;Grèzes (Lot);;;autre nom Dolmen des Ramades;;44.616967;1.827679
