Nom;Commune;Pages Web;Remarques;Lieu;Classement;Lat;Lon
Dolmens de Pech-Seret Dolmen B;Saint-Jean-de-Laur;;;4 dolmens <br autre nom Dolmens des Bories;;44.41917;1.80444
Menhir de Peyreficade ;Saint-Jean-Lagineste;;;autre nom Menhir de Peyrusse :mnh probable ;;44.822354;1.867919
Cromlech de Peyrebrune ;Saint-Projet (Lot);;;;;44.73194;1.49861
Dolmen du Rat ;Saint-Sulpice (Lot);https://fr.wikipedia.org/wiki/Dolmen du Rat;Base Mérimée PA46000050 ;;Inscrit MH 2011;44.581134;1.782111
Menhir de la Pierre-Levée ;Saint-Vincent-Rive-d'Olt;;;;;44.449988;1.279792
Dolmen du Pech Curet ;Salviac;;;;;44.695830;1.286942
Dolmen du Cloup Prioun ;Sauliac-sur-Célé;;Base Mérimée PA46000058 ;;Inscrit MH 2012;44.5047;1.6878
Dolmen du Mas de Galdot ;Sauliac-sur-Célé;;;;;44.52806;1.724167
Dolmen de Bartassou ;Sérignac_(Lot);;;;;44.4472;1.07556
Dolmen des Garroustes ;Sérignac_(Lot);;;;;44.43861;1.10667
Dolmen des Fosses ;Soucirac;https://fr.wikipedia.org/wiki/Dolmen des Fosses;Base Mérimée PA00095261 ;;Classé MH 1989;44.70281;1.49333
Dolmen Laval ;Souillac;;Base Mérimée PA00095264 ;;Classé MH 1984;44.91583;1.45472
Dolmen de Surgès ;Thédirac;https://fr.wikipedia.org/wiki/Dolmen de Surgès;PA46000063 ;;Inscrit MH 2013;44.6203;1.3047
Dolmen de Salers Dolmen;Théminettes;;;dolmens adjacents  avec 2 tumulus-satellites :33 <brautre nom Dolmen des Places;;44.72147;1.84203
Dolmen de Salers Tumulus n° 1;Théminettes;;;dolmens adjacents  avec 2 tumulus-satellites :33 <brautre nom Dolmen des Places;;44.72119;1.84169
Dolmen de Salers Tumulus n° 2;Théminettes;;;dolmens adjacents  avec 2 tumulus-satellites :33 <brautre nom Dolmen des Places;;44.72141;1.84090
Dolmen du Mas de Gobi ;Varaire;;;autre nom Dolmen du Mas de Coti;;44.35889;1.73222
